Datetime,Symbl,Price
2023-09-26 10:54:43.629676,^NSEI,19677.650390625
2023-09-26 10:54:44.853608,^NSEI,19677.94921875
2023-09-26 10:54:46.155998,^NSEI,19678.05078125
2023-09-26 10:54:47.425681,^NSEI,19677.80078125
2023-09-26 10:54:48.912277,^NSEI,19677.69921875
2023-09-26 10:54:50.340808,^NSEI,19677.400390625
2023-09-26 10:54:51.843583,^NSEI,19678.19921875
2023-09-26 10:54:53.114603,^NSEI,19678.19921875
2023-09-26 10:54:54.418696,^NSEI,19677.400390625
2023-09-26 10:54:55.726152,^NSEI,19677.400390625
2023-09-26 10:54:56.985741,^NSEI,19677.849609375
2023-09-26 10:54:58.438993,^NSEI,19677.650390625
2023-09-26 10:54:59.697107,^NSEI,19677.400390625
2023-09-26 10:55:00.960667,^NSEI,19676.69921875
2023-09-26 10:55:02.418960,^NSEI,19676.5
2023-09-26 10:55:03.689190,^NSEI,19676.400390625
2023-09-26 10:55:04.913203,^NSEI,19675.94921875
2023-09-26 10:55:06.204114,^NSEI,19676.19921875
2023-09-26 10:55:07.475776,^NSEI,19675.69921875
2023-09-26 10:55:08.961720,^NSEI,19675.94921875
2023-09-26 10:55:10.235092,^NSEI,19676.30078125
2023-09-26 10:55:11.596287,^NSEI,19676.599609375
2023-09-26 10:55:12.745322,^NSEI,19675.349609375
2023-09-26 10:55:14.012424,^NSEI,19675.75
2023-09-26 10:55:15.274919,^NSEI,19675.25
2023-09-26 10:55:16.548616,^NSEI,19675.69921875
2023-09-26 10:55:17.837736,^NSEI,19675.5
2023-09-26 10:55:19.170113,^NSEI,19675.75
2023-09-26 10:55:20.448792,^NSEI,19676.05078125
2023-09-26 10:55:21.721994,^NSEI,19675.650390625
2023-09-26 10:55:22.932815,^NSEI,19675.5
2023-09-26 10:55:24.292162,^NSEI,19675.599609375
2023-09-26 10:55:25.656028,^NSEI,19675.69921875
2023-09-26 10:55:26.861791,^NSEI,19676.150390625
2023-09-26 10:55:28.162854,^NSEI,19675.599609375
2023-09-26 10:55:29.494887,^NSEI,19675.44921875
2023-09-26 10:55:30.823884,^NSEI,19675.0
2023-09-26 10:55:32.104626,^NSEI,19674.650390625
2023-09-26 10:55:33.515786,^NSEI,19675.19921875
2023-09-26 10:55:34.764451,^NSEI,19675.30078125
2023-09-26 10:55:36.077747,^NSEI,19675.30078125
2023-09-26 10:55:37.389764,^NSEI,19674.400390625
2023-09-26 10:55:38.676352,^NSEI,19675.55078125
2023-09-26 10:55:40.056833,^NSEI,19675.400390625
